2018-01-10 12:47,https://newyork.craigslist.org/que/egr/d/draftsperson-expeditor-field/6454719415.html,DRAFTSPERSON / EXPEDITOR / FIELD WORK,Negotiable-based on experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Mid- sized Architectural firm seeking Architectural Graduate with minimum 1 year's experience with general architecture for drafting and field work, including NYC expediting (mostly Queens).,
Candidate MUST have an Architectural degree, MUST have a Class 2 Expeditor's License and MUST have a car.    "
2018-01-02 11:41,https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6445231380.html,Junior and Intern Level Architect,Salary will be directly related to ability and performance.,part-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Junior and Intern Level Architect,
Forest Hills, New York,
Small Architectural firm seeking to fill positions for part time Junior Architect / Intern. Work with  licensed professional. Contribute to residential, commercial, and industrial projects. The right candidate should be hard working willing to learn the field of architecture, and reliant.  Great experience for candidate who is working toward or possess a bachelor in Architecture with some prior experience.,
,
We seek motivated, bright, and responsible individuals with:,
• Strong communications skills,
• Working towards or possess a bachelor degree in Architecture,
• Detail oriented and organized,
• Ability to work independently,
• Willing to learn,
• Skilled in Collaboration and able to take Direction from the Team,
Software Requirements: ,
• AutoCAD 2010 a must,
• Sketchup,
• Microsoft Office,
• Photoshop a plus,
,
Interested candidates should e-mail a cover letter, work examples and resume. Resumes must include a phone number and the city/town of residence. ,
Compensation: Salary will be directly related to ability and performance. ,
Employment type: Part-time,
,
    "
2018-01-02 11:47,https://newyork.craigslist.org/que/egr/d/structural-engineer/6445239784.html,Structural Engineer,The salary is based on level of experience.,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
NYC engineering design firm is currently seeking a structural engineer to join our team. ,
,
Required Qualifications,
,
- MS degree in Civil Engineering.,
- Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.,
- Experience or previous education/training in concrete/steel shop drawings, residential/commercial building structure design, or structural engineering calculation is a plus.,
- Experience or previous education/training in eTabs, STAAD, or RAM is a plus.,
- Experience or previous education/training for NYC special inspection is a plus.,
- Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.,
,
We provide sponsorship for OPT, H1B. Please clearly indicate the request in your email.    "
2018-01-02 11:54,https://newyork.craigslist.org/mnh/egr/d/restaurant-construction/6445250390.html,Restaurant Construction Project Manager,BOE,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
NYC based mid-size construction company is seeking a Project Manager with superb communication skills and experience delivering projects on time, with an eye for high quality workmanship. This person in this position will be responsible for overall project management including client relationship, scheduling, budgeting and construction administration and will be accountable for the quality of work performed, client service and profitability.,
,
,
The ideal candidate is a natural leader and formidable multi-tasker who quickly grasps existing structures, a clear understanding of construction management and offers effective solutions to problems. Must meet time and cost objective with respect to contract, schedule, estimates, bids, and contract administration functions. Prepare change orders and monthly requisitions, and bid/buy/estimates for new jobs. The position also requires the employee to attend weekly site meetings, coordination with site superintendents and subcontractors. You will also work closely with designers and project architects in establishing the project schedule, technical requirements, and budgets. Must have the ability to communicate effectively with owners, architects and owner's rep and manage their expectations.,
,
,
Salary based on experience,
Immediate Start,
,
Qualifications:,
Bachelor's degree,
Minimum of 10-15 years project management experience.,
**Especially restaurants/hotel**,
Must have excellent time management, organizational and communication skills.,
Able to direct and manage multiple projects from beginning to end,
Identify and manage project dependencies and critical paths,
Plan, schedule, and track project milestones and deliverables.,
Ability to communicate effectively with senior management,
,
Requirements:,
Restaurant/Hotel,
Proficient with: MS Office, Excel, Projects,
*Job list*,
Provide 3-5 STRONG references from owners & architects from your job list,
,
MUST SEND: Job list,
,
    Principals only. Recruiters, please don't contact this job poster.,
    do NOT contact us with unsolicited services or offers,
    "
2018-01-02 12:08,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6445271936.html,Architectural Metal Cost Estimator,Based on experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Long established fine metal fabrication company using the latest technology including state of the art lasers, CAD/​CAM, waterjets, shears, numerical punching machines, press brakes, engineering, and a diverse workforce seeking candidates with Mechanical Engineering background.,
This position is not for square foot take off construction estimating or project management.  ,
,
,
This position entails a number of responsibilities and requires familiarity with a variety of disciplines as summarized below:,
,
Reading, interpreting and understanding drawings (CAD) and hard copy,
Preparing manufacturing labor and material cost estimates for projects, including liaison with manufacturing, engineering, purchasing and sales to provide the most cost effective process.​,
Corresponding and quoting customers relating to their project and to clarify project information,
Communicating with architects, designers, contractors, manufacturers (OEM) etc,
Corresponding with vendors to determine costs related to raw materials and purchased services,
Responsible for follow up of quotes,
Developing and maintaining good customer relationships,
,
This position requires the following skills:,
Ability to read architectural drawings and blueprints (CAD and hard copy).​,
Strong command of basic math, trigonometry and geometry is required.​,
Ability to problem solve,
Strong team player with excellent people and communication skills,
Ability to learn quickly.​,
Experience in sheet metal/​manufacturing industry is very helpful,
General computer literacy,
Constant customer contact via telephone and email.,
,
We offer a challenging, exciting work environment with competitive salary, bonus opportunity and excellent benefits.​ We also provide ample room for professional development and growth!,
,
    "
2018-01-02 12:36,https://newyork.craigslist.org/mnh/egr/d/administrative-receptionist/6445317087.html,"Administrative Receptionist - Leading Wholesaler - Temp to Perm, $40K","Temp to Perm, $40K",contract,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Leading Wholesaler in Midtown has an immediate need for an Administrative Receptionist. ,
,
In this position, you will greet customers, oversee sample inventory, take photographs of samples, and accept incoming packages. You will also be responsible for a variety of administrative tasks in the showroom, such as managing visual merchandising. ,
,
Our ideal candidate is an organized and efficient professional with a customer service-oriented approach and excellent communication skills.,
,
,You will need:,
•	Previous experience in a similar role,
•	Strong proficiency in Excel,
•	Design software knowledge a plus!,
•	Eye for organization and detail,
•	Ability to balance competing priorities in a fast-paced environment,
•	Friendly, approachable demeanor,
 ,
,Must be available to start ASAP! Please submit your resume to be considered for this opportunity.,
    "
2018-01-10 13:21,https://newyork.craigslist.org/mnh/egr/d/civil-engineer-bridge/6454771170.html,Civil Engineer - Bridge Inspector,commensurate with experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
IMMEDIATE NEED!  Civil Engineer - Bridge Inspector.  MUST have five years of proven experience inspecting bridges and infrastructure.  Additional responsibilities may include design, CAD support, condition assessments and civil engineering.  ,
,
Specific experience in bridge design, bridge inspection or both.  Must have a NY PE license.  Perform bridge inspection on NYC and Long Island Bridges for the MTA Bridges and Tunnels (formerly the Triborough Bridge & Tunnel Authority).  Will function as a Team Leader.  MUST be a degreed engineer (BSCE or equivalent) with a NY PE license.  Fit the picture?  Interested?  Know someone who's available?  Call Joe Brennan immediately at 646-237-5404,
,
    "
2018-01-02 13:47,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6445428752.html,Procurement Project Manager with Design/Architecture background needed,TBD,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
An Interior Finish and FF+E supply company is looking for a qualified and experienced candidate to manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.,
Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.,
,
The Procurement Project Manager will be responsible for:,
Bidding, planning, execution and closing of any project brought to the company.,
Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work,
Provide the bridging gap between the factory production team and the client.,
Handling of all project submittals to and from the client and factories,
Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.,
Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.,
Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.,
Familiarizing yourself with all products and specifications that the company provides.,
Processing of purchase orders, payment request and review invoices for accuracy and approval for payment.,
Oversee all procedures for logistics in import/export of shipments, including pick up, delivery and clearing customs.,
Provide weekly update to Director of Operations pertaining to project functions,
,
KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:,
Strong computer skills, including but not limited to MS Office, Photoshop, Autocad, and On-Screen Takeoff - a PLUS,
Excellent relationship building skills.,
,
EDUCATION AND OR EXPERIENCE,
Education Requirements: Associates Degree or Higher.,
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role    "
2018-01-02 13:14,https://newyork.craigslist.org/wch/egr/d/academic-tutors-starting-at/6445376771.html,Academic Tutors ( Starting at $75 per hour ),Starting at $75 per hour,employee's choice,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
We are America's most highly regarded private tutoring service. For more than 25 years, we have offered outstanding preparation for standardized tests and academic tutoring from grade school through graduate school.,
,
We are now looking for Academic subject tutors and SAT/GMAT tutors. Our faculty consists primarily of high honors graduates of leading colleges and universities. Many hold graduate or professional degrees.,
,
Applicant must have,
a) a stellar educational background,
b) strong standardized test scores,
c) excellent communication skills,
d) amiability, maturity, patience, and a sense of humor,
,
Teaching/Tutoring experience is not required. Company will provide training.,
Please email resume with a cover letter.    "
2018-01-02 13:44,https://newyork.craigslist.org/mnh/egr/d/interns-needed/6445424349.html,Interns Needed!,TBD,part-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Phipps & Co is an interior finishes and FF&E company focusing on large scale projects mainly in the hospitality and residential sectors. ,
,
We are looking for eager individuals to intern from either of the following disciplines: marketing, graphic design, PR, interior design, etc. to join the marketing and client relations department, working closely with the VP and owner.,
,
Candidate will be exposed to the many facets of the business such as design implementation, marketing and manufacturing /production, interior design, project management as well as various other business related activities. This is a hands-on role and an excellent opportunity for anyone who is looking to gain valuable experience in the interior design and manufacturing industry and business or lifestyle marketing.,
,
SKILLS AND QUALIFICATION:,
Must have a great attitude, communications skills, excellent writing and excellent work ethic,
An eye for beautiful design with significant experience with Photoshop, lnDesign & Illustrator,
Experience creating engaging branding materials or graphics for a company, project or student group,
Graphic skills,
Thrives in a dynamic, fast-paced, creative environment,
Has a can-do attitude, a high energy level, and a detail-oriented mentality,
Can work in a highly demanding and fast paced environment,
,
RESPOSIBILITIES:,
Enhance the design and branding of the entire platform, including print marketing, website, catalogs and social media,
Work closely with platform and project managers to create beautiful front -end designs,
Contribute to and give insightful feedback on existing products and their designs    "
2018-01-02 13:51,https://newyork.craigslist.org/brk/egr/d/experienced-architectural/6445269287.html,Experienced Architectural Metal Programmer,TBD,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Experienced Architectural Metal Programmer,
,
A long established, state of the art, and exciting  fine metal fabrication company  constructing high profile and beautiful architectural and sculpture projects using the latest technology that  includes advanced lasers, waterjets, shears, numerical punching machines, press brakes etc. . . has an exciting opportunity for a Mechanical Engineer/Draftsman in our Production Department. This position will be responsible for working with our Technical Production Manager to prepare detailed flat pattern layout drawings of metal bent shapes using Auto CAD, Inventor, Rhino and or Solidworks. Candidates must be detail oriented and accurate while working under tight production deadlines. Manufacturing background is helpful. ,
,
,
,
Qualification Requirements:,
,
Be able to read and interpret drawings from CAD and develop CAD drawings for production,
A strong mathematical background including comfort with trigonometry,
Understanding sheet metal layout and bending functions helpful,
Must have good communication skills,
Must be able to handle multiple tasks ,
Must be dependable,
,
 ,
Competitive salary. Benefits include health insurance, paid sick leave, a 401k Retirement Plan, Paid Vacation, generous Paid holidays and discretionary Bonuses.,
    "
2018-01-02 13:59,https://newyork.craigslist.org/brk/egr/d/cost-estimator-wanted-now/6445446795.html,COST ESTIMATOR WANTED NOW,Employer and applicant will discuss during interview,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Cost Estimator for construction company needed ASAP. Estimator must have a thorough knowledge of the construction industry, have the ability to do take-offs, and estimate and bid job. ,
,
A background in engineering isn't required, but would be helpful in our decision for employment. ,
,
We are a W/MBE company located in Brooklyn, NY, with current projects estimating over 1 million dollars.,
,
Applicant must be able to thoroughly read and understand drawings, do take-offs, price a job, and provide a knowledgable bid based on labor, materials, cost and time.  ,
Only serious applicants wanted.    "
2018-01-02 14:42,https://newyork.craigslist.org/mnh/egr/d/mep-senior-mid-level-resource/6445512929.html,MEP/Senior & Mid-Level Resource Managers,commensurate with experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services.  ,
,
Currently we are offering excellent career opportunities for Senior and Mid-level MEP Resource Managers.,
,
Responsibilities:,
-Assigning and managing work assignments internally,
-Leveling work load and resolving resource priorities and conflicts with Project Managers and Principals,
-Maintain live ongoing internal project schedule,
-Support engineering product quality through development of engineering technical standards and organizing internal technical quality reviews and monthly staff meeting,
-Communicating and controlling of project scope, ,
-Improving internal project control processes. ,
-Managing our Shop Drawings/RFI submissions,
,
Qualifications include:,
 -A BS in Engineering and 2-7 years experience,
 -Experience in project managing technical/engineering projects or similar experience ,
 -Strong communication, writing and interpersonal skills,
 -Well organized and energetic,
 -Proficiency in MSOFFICE & Google Drive tools,
 -Team player, seek knowledge from others, remain enthusiastic about work and be consistently productive.    ,
-Available to work overtime and meet project deadlines.,
,
Candidates with the following qualifications will be given stronger consideration:,
  PMI PMP Certification or similar,
  Experience in several trades,
  Heavy experience with EXCEL,
,
Join our firm where you will have the unique opportunity of being recognized in a true team environment. ,
,
Send resume file labeled with your full name,
Send minimum salary requirements,
,
Candidates must be authorized to work in the USA,
,
See our website at :,
www.ettingerengineering.com,
,
NO CALLS,
Equal Opportunity Employer ,
,
    "
2018-01-02 14:44,https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6445514917.html,Architectural Firm Seeking Interior Design Intern,Unpaid Internship with transportation reimbursed.,part-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
We are a small, high-end architectural design firm seeking a part-time Interior Design intern 2 days per week. This is an unpaid, entry level position with great opportunity for a design student looking to gain valuable field experience. Transportation will be reimbursed. ,
,
Duties Include:,
Maintain Sample Department / Library ,
Answer Phones,
Send/Receive Mailings,
Order/Maintain Supplies,
Filing,
Create Proposals and Invoices,
Assist Staff as Needed,
,
Required Skills:,
Professionalism,
Ability to Multi-Task ,
Great Organizational Skills ,
Currently Studying Architectural/Interior Design ,
Microsoft Office ,
Auto-Cad, Sketch-Up, Photoshop Experience a Plus!,
Portfolios Welcomed,
,
Email cover letter, resume, and portfolio (if available). ,
No phone calls, please.    "
2017-12-29 11:39,https://newyork.craigslist.org/mnh/egr/d/assistant-construction-manager/6441608858.html,Assistant Construction Manager,TBD,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Assistant Construction Manager,
,
Growing Construction Management & Consulting Firm seeks Assistant CM in support of multiple High Profile Projects. This position will develop to a supervisory role in administration of growing volume of work. This is a key position working closely with primary decision makers. Work must be accurate and complete over full range of Construction Management Functions. ,
,
•	Fast moving and exciting Residential Development and Hospitality Projects in Manhattan.,
•	 Collaborators include Top Restaurant Operators, Highly Published Design Firms and Growing Residential Developers.,
•	Work directly with Principal on Overall Project Strategies and Weekly Objectives,
,
Projects,
,
•	Townhouse Single Family Development Projects in Manhattan. Gut Rehabs,
•	Condo Development Projects ,
•	Amenities Space Renovation in Large Downtown Condo Property,
•	High Profile Restaurant Projects with Internationally Known Operators,
•	Levels of Design and Finish Ranging from Condo to Very High End,
,
General Requirements,
,
•	High Proficiency in Excel,
•	Familiar with AIA Documents,
•	Experience in Construction Administration,
•	Must write well.,
•	Fluent in Smartsheet or MS Project type Scheduling Programs,
•	Background in Construction, Architecture/ Engineering, Legal or Accounting Fields very helpful.,
•	Able to Manage Information over Multiple Projects,
,
Our Duties and Deliverables,
,
•	Trade Contract Administration,
•	Change Orders and Change Order Logs,
•	Daily Site Reports,
•	Administrative Site Meeting Minutes,
•	Safety Meeting Minutes,
•	FTP Admin,
•	Insurance Administration,
•	Budget Updates in Excel,
•	Timekeeping for Small Owner's Crew,
•	Shop Drawing Review,
•	Trade Vendors Payment Applications G702/3,
•	Partial and Final Lien Releases,
•	Cash Flow Forecasting and Reports,
•	Project Accounting Records ,
•	Bid Packages and Bidding Schedule for Trade Vendors,
•	Bid Leveling in Excel,
•	Submittals and Submittal Log,
•	Scheduling of Special Inspections,
•	FF & E Purchasing,
•	Building Material Purchasing,
•	Track DOB Required Items for Letter(s) of Completion and C of O,
•	Punch List Administration,
•	Personal Per Project Timekeeping,
•	Manage Assistant(s),
,
,
Respond to: silfoxlabor@gmail.com ,
,
Include Short Bio, Education and Work Experience and Salary Requirements.,
    "
2018-01-02 14:52,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-with/6445527202.html,Electrical Engineers with REVIT,Commensurate with experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. ,
,
Currently we are offering excellent career opportunities for Electrical Engineers with proficiency in REVIT modeling and Autocad for the design of new and hi-mid and low-rise residential buildings, hotels, schools and more.,
,
General Responsibilities Under Supervision of Senior Engineer/Project Managers include:,
Design and layout of systems with minimal direction,
Building inspections of existing services and trades (when appropriate) -Good sense of coordination and follow through.,
Possess sufficient knowledge of drawings consistent with instruction, guidelines, standards ,
Learn/be familiar with building codes,
Learn/be familiar with equipment and able to make basic selections ,
Ability to perform engineering calculations ,
,
General Qualifications include:,
A BS in Engineering, 2-3 years experience,  REVIT and Autocad proficiency required. Willing to be team player, seek knowledge from others, remain enthusiastic about work and being productive. Available to work overtime and meet project deadlines.,
,
Send resume file labeled with your full name,
Send minimum salary requirements,
,
Candidates must be authorized to work in the USA,
,
See our website at :,
www.ettingerengineering.com,
,
NO CALLS,
Equal Opportunity Employer,
    "
2017-12-27 12:19,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6439312690.html,Draftsperson Detailer,tbd,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Hi-end visual display and props manufacturing company seeking motivated and responsible individual to fill the position of Draftsperson detailer. ,
The ideal candidate must be able to transfer renderings into drawings for fabrication.,
,
Candidate must be flexible and have experience with materials, such as solid wood, plywood, plastic, metal fabrication, and veneer work. ,
,
Must also be skilled with decorative patterns, intricate millwork, heavily dimensioned sculpted plaster like ceilings drafted for production on CNC machine,
,
Must be proficient in AutoCAD, Rhino, Sketch up, be able to produce shop drawings and be familiar with all phases of fabrication.,
,
Must submit portfolio with application, no candidate without portfolio will be considered!,
,
Hours are Monday through Friday, 8:30AM -- 5:30PM, and must be available for regular overtime, working until 8:30PM at times. ,
,
Opportunities for growth. ,
,
,
,
•	Location: Long Island City ,
•	Compensation: based on experience ,
•	Must speak English, American resident or citizen only.,
•	Principals only. No Recruiters ,
•	Please, no phone calls about this job!,
,
    "
2018-01-02 14:45,https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-electrical/6445516841.html,Sr. Project/PM Electrical Engineers,TOP DOLLAR SALARY,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. ,
,
Currently we offer an excellent career opportunities for  Senior Level Electrical Engineers/Project Managers who will be responsible for project design with the ability to project manage including coordinating all trades for a diverse set of projects.,
,
You will be expected to lead and provide intelligent building systems for a variety of project types in varying sizes and levels of complexity simultaneously.,
,
Your responsibilities will also include creating plans, schematics, equipment selection, load calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications etc.   ,
,
As a Project Manager, you will be expected to lead larger multi-discipline teams and resources and effectively manage project scopes, budget and scheduling/deadlines. ,
,
General Qualifications include:,
-A BS in Engineering and 5+ years of experience in building design,
-EIT certificate and/or PE License preferred,
-LEED GA or AP certification a plus,
-PMI PMP Certification or similar strongly preferred,
-An advanced degree in either Engineering or Business preferred,
-Exceptional communication, writing and interpersonal skills,
-Must be organized, energetic and accountable,
-Must be able to work overtime to meet project deadlines,
-Must have demonstrated familiarity with NYC & NYS building codes,
-Proficiency in MSOFFICE & Google Drive tools,
-Must be available to work overtime and meet project deadlines,
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.,
-Must be able to demonstrate the ability to solve complex technical and project level problems,
-CAD/Revit experience required,
 ,
Send resume file labeled with your full name,
Send minimum salary requirements,
,
Candidates must be authorized to work in the USA,
,
See our website at :,
www.ettingerengineering.com,
,
NO CALLS,
Equal Opportunity Employer ,
,
    "
2017-12-15 15:34,https://newyork.craigslist.org/mnh/egr/d/construction-site-supervisor/6426763527.html,Construction Site Supervisor,30-35K,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Looking for a construction supervisor for a masonry sub contractor company. Individual needs to be professional and proficient in reading architectural drawings. Job responsibilities include (but not limited to) managing employees, coordinating work schedules, and making sure employees meet deadlines as per schedule. Please email resumes, cover letter, writing sample (if possible) and wait to be contacted.,
,
Duties:,
,
- Coordinate with other trades, project managers, owners and employees,
,
- Dispatch/oversee workers,
,
- Manage time schedules, deadlines, budgets,
,
- Monitor compliance with building and safety codes, and other regulations,
,
- Assist the Project Executive and PM in planning and execution,
,
- Responsible for managing day-to-day project activities. Under the supervision of a PM,
,
- Assist in the preparation of daily, weekly, monthly reports that discuss, in detail, the status of the project,
,
Individual Must:,
,
- Have advanced skills in organizing construction sites and field personnel,
,
- Must be able to handle high volume of work,
,
- Must have the flexibility to work overtime when warranted,
,
- Strong leadership & analytical skills a must,
,
Job Type: Full-time,
,
Compensation: 30-35K    "
2017-12-14 13:11,https://newyork.craigslist.org/lgi/egr/d/field-estimator-assistant/6425288764.html,Field Estimator/ Assistant Project Estimator : Flooring,"$29,000- $35,000, commensurate with experience. Benefit package includes full health benefits (with an option for dental), strong retirement benefits (401k and profit sharing).",full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
We are a Long Island based supplier and installer of hardwood flooring, resilient flooring, and carpet, ceramic tile and stone. Our primary focus involves new residential and commercial construction, as well as a strong property management division. ,
We seek to train an astute person as a field estimator/Assistant Project Estimator for our sales division. ,
,
In this position you will taught to : ,
- Provide accurate field measurements and job site assessment.,
- Work on-site to layout and establish quantities for future work.,
- Estimate and layout projects working from blueprints or field measurements. ,
- Assess job readiness for flooring instaltion,
- Estimate jobs using state of the art estimating software.,
- Read blueprints, and project specifications.,
- Understand job complexity and requirements for working with a variety of flooring materials.,
,
Having a vehicle is essential, the company will compensate for fuel expenses.,
Excellent verbal/written communication skills, strong organization abilities and Microsoft Office proficiency are essential. ,
,
This is an extraordinary opportunity to learn construction estimating.,
,
Please send cover letter explaining why you are qualified for this position and resume,
Principals only. Recruiters, please don't contact this job poster.    "
2017-12-14 13:01,https://newyork.craigslist.org/lgi/egr/d/intermediate-architect/6425273434.html,Intermediate architect,Salary commensurates with experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
We are a fast paced architectural design and construction management firm seeking an energetic individual with at least a bachelors of architectural degree and 5-7 years experience in construction drawing preparation. Proficiency in autocadd and revit is a must.    "
2017-12-14 14:59,https://newyork.craigslist.org/que/egr/d/estimator-construction/6425448931.html,Estimator - Construction,Send Salary Requirements,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Demolition company seeking responsible & motivated estimator to join our team!,
,
Duties Include:,
,
Job Site Walk-throughs,
,
Project Estimating- various trades - Concrete, Masonry & Demo. ,
,
Maintaining Client relationships,
,
Project Status Follow-up,
,
Bid Submission/RFP's,
,
Attend Job Site Meetings,
,
Must be able to read blueprints. ,
,
More information will be provided upon receipt of resumes.,
,
Must have experience.,
,
Required experience: Estimating: 1 year minimum    "
2017-12-12 21:49,https://newyork.craigslist.org/brk/egr/d/project-manager/6423342654.html,Project Manager,TBD,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Prepare complete and detailed scopes of work for construction trades.,
Perform quantity take-offs with accuracy and completeness.,
Solicit budgets and bids from subcontractors and suppliers in a timely fashion,
Resolves cost discrepancies by collecting and analyzing information.,
Prepares special reports by collecting, analyzing, and summarizing information and trends.,
Monitor project costs and schedule,
Monitor site supers and attend meetings,
,
At least 4 years industry experience minimum ,
,
Please email resume with expected salary,
,
Also looking for Assistant Project managers/site supers    "
2017-12-13 09:00,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6423645059.html,Intermediate Architect,50K - 100K,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Architectural studio is seeking  intermediate architects full time  to join our studio. ,
The candidate is expected to contribute from schematic design through the construction document phases. ,
,
Real project experience using Revit is required. ,
,
To be qualified for this position, candidates should have a degree in Architecture,proficiency in Revit, basic knowledge of NYC building code & zoning .,
,
Please email your resume, (including hourly rate) and Revit work samples (construction drawings) in PDF format / links viewable online.,
    "
2017-12-13 09:11,https://newyork.craigslist.org/lgi/egr/d/architectural-draftsperson-to/6423656367.html,Architectural Draftsperson to Project Manager,Salary commensurate with experience and positon,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
SBLM Long Island branch office of NYC based Architectural firm seeks motivated and talented staff for SEVERAL POSITIONS ranging from Architectural Draftsperson to Project Manager.,
,
Requirements:,
•	BA Arch or BS Arch degree required,
•	AutoCAD required (basic test at interview) Revit a plus,
•	Experience in retail, Educational and Healthcare project types a plus,
•	Excellent communication skills with ability to work well under deadlines,
,
Compensation and Benefits:,
Benefits include medical, dental, 401k Retirement Plan, Employer paid Long Term Disability,
and Flexible Spending Plan,
    "
2017-12-12 17:57,https://newyork.craigslist.org/mnh/egr/d/hotel-engineer/6423112385.html,Hotel Engineer,$17.50.  FSD will make addional $1.00.,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
ESSENTIAL DUTIES,
 Respond to guestroom calls as required and in a positive, polite and timely manner.,
 Take equipment and meter readings and record in a legible and orderly manner.,
 Ensure that job site is clean and orderly after completion of all jobs.,
 Detailed record keeping in English is required for logs and inspection sheets.,
 Perform preventive maintenance on all hotel guest rooms and public areas as assigned - ( this,
requires the individual to visually inspect and detect items needing repair and requires.  **Must be able to paint and spackle at a high level. ,
knowledge of a wide variety of maintenance trades).,
 Think quickly and act appropriately in emergency situations.,
 Perform well under pressure situations, time demands, and work overtime when needed.,
 Always treat guests with courtesy and respect in a variety of situations.,
 Perform any general cleaning tasks as assigned.,
 Perform other duties as requested, such as (but not limited to) moving supplies and equipment,
or cleaning up spills to ensure safe working environment.,
 Report major repairs and items which cannot be repaired immediately to Management for,
further action.,
RESONSIBILITIES AND AUTHORITIES:,
 Under direction of the Chief Engineer, perform general repairs and preventive maintenance of,
any and all equipment found in and around the hotel.,
 Specific work areas will be assigned as needed to each employee, based on skill level and,
experience.,
 Accurate record keeping on assigned tasks is required.,
 Ensure that all safety systems are operable.,
REQUIREMENTS:,
 Hotel experience preferred.,
 Ability to push, pull, grasp, lift or carry supplies, equipment or tools weighting up to 100 lbs.,
occasionally.,
 Basic mechanical aptitude for operation and repair of hotel equipment.,
 Skill in the use of related tools (including hand and electric tools).,
Education: High School or equivalent education required.,
Knowledge: Must have a minimum of 3 years hands-on ex    "
2017-12-12 09:33,https://newyork.craigslist.org/que/egr/d/nyc-department-of-buildings/6422360136.html,NYC  Department of Buildings  registered class 1 and class 2 filing,based on experience,full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
class 1 and class 2 Department of Buildings filing reps needed . must be registered with the Department of Buildings .this is a in house position. 830am to 5pm mon  to fri.  send your resume to be scheduled for an interview.    "
